"";"Harry Potter i Czara Ognia";"Harry Potter i Insygnia Smierci";"Harry Potter i Kamien Filozoficzny";"Harry Potter i Komnata Tajemnic";"Harry Potter i Ksiaze Polkrwi";"Harry Potter i Przeklete Dziecko";"Harry Potter i Wiezien Azkabanu";"Harry Potter i Zakon Feniksa";"Opowiesci z Narni. Kon i jego chlopiec";"Opowiesci z Narni. Ksiaze Kaspian";"Opowiesci z Narni. Lew, czarownica i stara szafa";"Opowiesci z Narni. Ostatnia bitwa";"Opowiesci z Narni. Podroz Wedrowca do Switu";"Opowiesci z Narni. Siostrzeniec Czarodzieja";"Opowiesci z Narni. Srebrne krzeslo";"Zmierzch.Ksiezyc w Nowiu";"Zmierzch.Przed Switem";"Zmierzch.Zacmienie";"Zmierzch.Zmierzch"
"ceremonia";0,00113683147127882;0;0,0032414446241952;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ch<b3>opak";0,00100845123653201;0;0;0,00206090499482973;0,00477010791849663;0,00318241367758317;0;0;0;0;0,00680157030871568;0;0;0;0;0;0;0,00618271498448919;0,0111241126747952
"ch<b3>opca";0,00279625307601235;0;0,00797294913988751;0;0;0;0;0;0;0,00285725859734166;0;0;0;0;0;0;0;0;0
"ch<b3>opcu";0,000674133503169837;0;0,00192215510833954;0,00275536397504467;0;0,00141826172205907;0;0;0;0,004133045962567;0;0;0;0;0;0;0;0;0
"ch<b3>opiec";0,000873592939057463;0;0,00498174656065303;0;0,00137740343647195;0,0110273417977342;0,0061232949629224;0;0,0175764438513181;0,00401693405614888;0;0;0,00294322526755563;0;0;0;0;0;0
"ch<ea><e6>";0;0;0;0;0;0,00239169919988482;0;0;0;0;0;0;0;0;0;0,00750098732896902;0;0;0
"ch<ea>tny";0,00113683147127882;0,00236041243709563;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"cha";0,00568415735639409;0;0;0;0;0;0;0,0145483875182243;0;0;0;0;0;0;0;0;0;0;0
"chang";0,00113683147127882;0;0;0;0;0;0;0,00727419375911217;0;0;0;0;0;0;0;0;0;0;0
"char<b3>ak";0;0;0;0,00464653435399655;0;0;0;0,00363709687955609;0;0;0;0;0;0;0;0;0;0;0
